Date,Location,Latitude,Longitude,Operator,Route,Type,Aboard,Fatalities,Ground
02/25/1981,"North Adams, Massachusetts",42.700915,-73.1087148,Berkshire Aviation - Air Taxi,"North Adams, MA - New York, NY",Cessna 310R,3,2,0
02/26/1981,Off Tabones Island  Philippines,14.8238889,120.0644444,Military - U.S. Air Force,,Lockheed MC-130E-Y,24,23,0
03-02-1981,"Fallon, Nevada",39.4748693,-118.7770407,Air Chaparral - Air Taxi,"Fallon, NV - Austin, NVq",Cessna T210N,2,2,0
03-10-1981,"Moroni, Comoro Islands",-11.7172157,43.2473146,Military - French Naval Aviation,,Dassault-Breguet Atlantique,18,18,0
03/15/1981,"Shemya AFB, Alaska",52.7228375,174.1123656,Military - U.S. Air Force,Fairbanks - Shemya AFB,Boeing RC-135S,24,6,0
03/26/1981,"Redzikowo, Poland",51.919438,19.145136,LOT Polish Airlines,,Antonov AN-24B,52,1,0
03/27/1981,"Galena, Alaska",64.7412605,-156.871111,Galena Air Service - Air Taxi,"Hughes, AK - Galena, AK",Piper PA-31,4,4,0
04-01-1981,"Mt. Hagen, Papua, New Guinea",-5.8581876,144.2429343,Talair,,Cessna 402,8,8,0
04-06-1981,"Laguna Soliz, Bolivia",-17.5833333,-62.6,Urcupina,,Douglas C-47A,7,7,0
04-07-1981,"Cincinnati, Ohio",39.1031182,-84.5120196,Freedom International,Cincinnati - Detroit,Learjet 23,2,1,0
04/17/1981,"Loveland, Colorado",40.395451,-105.0745837,Air US / Private,"Denver, CO - Gillette, WY",Hadley Page 137Jetstream I / Cessna 206,19,15,0
04/28/1981,"Pekanbaru, Indonesia",0.5070677,101.4477793,Airfast Indonesia,,Douglas C-47A-5-DK,17,15,0
05-06-1981,"Near Fredrick, Maryland",39.4142688,-77.4105409,Military - U.S. Air Force,Training,Boeing EC-135N,21,21,0
05-07-1981,"Rio de la Plata, Argentina",-35.1944557,-56.741207,Austral Lineas Aeras (Argentina),Tucuman - Buenos Aires,BAC One-Eleven 529FR,31,31,0
05/16/1981,"Near Menongue, Angola",-14.6594083,17.6984879,TAAG Angola Airlines,,Lockheed L-100-20 Hercules,4,4,0
